======================================================================
EXPERIMENT CONFIGURATION
======================================================================
USE_CUTOUT = True
CUTOUT_SIZE = 8
USE_SILU = False
WARMUP_FRACTION = 0.23
======================================================================
------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4922  |     0.6582  |   0.6158  |               |              7.7981  |
|          |      1  |      1.3574  |     0.7646  |   0.6728  |               |              8.2177  |
|          |      2  |      1.2764  |     0.7959  |   0.6982  |               |              8.6011  |
|          |      3  |      1.2305  |     0.8174  |   0.7908  |               |              8.9542  |
|          |      4  |      1.1660  |     0.8584  |   0.8392  |               |              9.3073  |
|          |      5  |      1.1426  |     0.8633  |   0.8680  |               |              9.6616  |
|          |      6  |      1.0918  |     0.9023  |   0.8869  |               |             10.0140  |
|          |      7  |      1.0605  |     0.9141  |   0.8926  |               |             10.3671  |
|          |      8  |      1.0400  |     0.9229  |   0.9162  |               |             10.7203  |
|          |      9  |      0.9990  |     0.9443  |   0.9277  |               |             11.0466  |
|          |   eval  |      0.9990  |     0.9443  |   0.9277  |       0.9352  |             11.1996  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4912  |     0.6631  |   0.6729  |               |              0.3929  |
|          |      1  |      1.3145  |     0.7783  |   0.7223  |               |              0.7794  |
|          |      2  |      1.2871  |     0.7822  |   0.7392  |               |              1.1649  |
|          |      3  |      1.1670  |     0.8555  |   0.8282  |               |              1.5190  |
|          |      4  |      1.1631  |     0.8525  |   0.8043  |               |              1.8722  |
|          |      5  |      1.1572  |     0.8516  |   0.8334  |               |              2.2256  |
|          |      6  |      1.1133  |     0.8750  |   0.8119  |               |              2.5791  |
|          |      7  |      1.0977  |     0.8906  |   0.8818  |               |              2.9332  |
|          |      8  |      1.0244  |     0.9287  |   0.9184  |               |              3.2861  |
|          |      9  |      0.9946  |     0.9531  |   0.9280  |               |              3.6101  |
|          |   eval  |      0.9946  |     0.9531  |   0.9280  |       0.9373  |              3.7627  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.5391  |     0.6406  |   0.5661  |               |              0.4784  |
|          |      1  |      1.3389  |     0.7578  |   0.7452  |               |              0.8616  |
|          |      2  |      1.2432  |     0.8184  |   0.8020  |               |              1.2459  |
|          |      3  |      1.2139  |     0.8223  |   0.7603  |               |              1.5985  |
|          |      4  |      1.1904  |     0.8389  |   0.8507  |               |              1.9516  |
|          |      5  |      1.1250  |     0.8701  |   0.8654  |               |              2.3047  |
|          |      6  |      1.0996  |     0.8838  |   0.8739  |               |              2.6585  |
|          |      7  |      1.0742  |     0.8994  |   0.8872  |               |              3.0127  |
|          |      8  |      1.0244  |     0.9395  |   0.9147  |               |              3.3662  |
|          |      9  |      0.9941  |     0.9512  |   0.9286  |               |              3.6929  |
|          |   eval  |      0.9941  |     0.9512  |   0.9286  |       0.9370  |              3.8460  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.5146  |     0.6475  |   0.5908  |               |              0.3913  |
|          |      1  |      1.3467  |     0.7480  |   0.7424  |               |              0.7759  |
|          |      2  |      1.2432  |     0.8203  |   0.7812  |               |              1.1595  |
|          |      3  |      1.2178  |     0.8281  |   0.8007  |               |              1.5140  |
|          |      4  |      1.1670  |     0.8496  |   0.8382  |               |              1.8683  |
|          |      5  |      1.1592  |     0.8525  |   0.8699  |               |              2.2221  |
|          |      6  |      1.0986  |     0.8945  |   0.8797  |               |              2.5772  |
|          |      7  |      1.0693  |     0.9111  |   0.8923  |               |              2.9317  |
|          |      8  |      1.0156  |     0.9395  |   0.9135  |               |              3.2849  |
|          |      9  |      0.9941  |     0.9473  |   0.9282  |               |              3.6089  |
|          |   eval  |      0.9941  |     0.9473  |   0.9282  |       0.9341  |              3.7619  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.5146  |     0.6523  |   0.6097  |               |              0.3918  |
|          |      1  |      1.3096  |     0.7754  |   0.7392  |               |              0.7758  |
|          |      2  |      1.2305  |     0.8232  |   0.7723  |               |              1.1612  |
|          |      3  |      1.2100  |     0.8174  |   0.8161  |               |              1.5142  |
|          |      4  |      1.1689  |     0.8574  |   0.8533  |               |              1.8671  |
|          |      5  |      1.1494  |     0.8672  |   0.8037  |               |              2.2207  |
|          |      6  |      1.0898  |     0.8945  |   0.8561  |               |              2.5744  |
|          |      7  |      1.0889  |     0.8926  |   0.8945  |               |              2.9273  |
|          |      8  |      1.0322  |     0.9238  |   0.9142  |               |              3.2813  |
|          |      9  |      1.0010  |     0.9512  |   0.9260  |               |              3.6052  |
|          |   eval  |      1.0010  |     0.9512  |   0.9260  |       0.9335  |              3.7577  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4707  |     0.6748  |   0.6797  |               |              0.3926  |
|          |      1  |      1.3174  |     0.7764  |   0.7802  |               |              0.7769  |
|          |      2  |      1.2715  |     0.7959  |   0.7505  |               |              1.1612  |
|          |      3  |      1.2178  |     0.8281  |   0.7800  |               |              1.5145  |
|          |      4  |      1.1836  |     0.8369  |   0.8370  |               |              1.8674  |
|          |      5  |      1.1123  |     0.8809  |   0.8501  |               |              2.2214  |
|          |      6  |      1.1152  |     0.8877  |   0.8857  |               |              2.5739  |
|          |      7  |      1.0684  |     0.9160  |   0.8720  |               |              2.9282  |
|          |      8  |      1.0244  |     0.9346  |   0.9191  |               |              3.2814  |
|          |      9  |      1.0010  |     0.9424  |   0.9286  |               |              3.6066  |
|          |   eval  |      1.0010  |     0.9424  |   0.9286  |       0.9355  |              3.7599  |
------------------------------------------------------------------------------------------------------
|       6  |      0  |      1.5049  |     0.6445  |   0.5798  |               |              0.3920  |
|          |      1  |      1.3223  |     0.7617  |   0.6728  |               |              0.7767  |
|          |      2  |      1.3125  |     0.7705  |   0.6057  |               |              1.1615  |
|          |      3  |      1.2197  |     0.8262  |   0.8336  |               |              1.5164  |
