======================================================================
EXPERIMENT CONFIGURATION
======================================================================
USE_CUTOUT = False
CUTOUT_SIZE = 8
USE_SILU = True
WARMUP_FRACTION = 0.23
======================================================================
------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4570  |     0.6816  |   0.6091  |               |              7.4250  |
|          |      1  |      1.2588  |     0.8057  |   0.7522  |               |              7.8074  |
|          |      2  |      1.1934  |     0.8516  |   0.7731  |               |              8.1866  |
|          |      3  |      1.1709  |     0.8574  |   0.8201  |               |              8.5354  |
|          |      4  |      1.1504  |     0.8691  |   0.8539  |               |              8.8833  |
|          |      5  |      1.0996  |     0.8955  |   0.8486  |               |              9.2322  |
|          |      6  |      1.0732  |     0.8965  |   0.8987  |               |              9.5801  |
|          |      7  |      1.0195  |     0.9346  |   0.9013  |               |              9.9285  |
|          |      8  |      0.9683  |     0.9746  |   0.9225  |               |             10.2766  |
|          |      9  |      0.9536  |     0.9746  |   0.9323  |               |             10.5971  |
|          |   eval  |      0.9536  |     0.9746  |   0.9323  |       0.9406  |             10.7499  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4150  |     0.7139  |   0.6805  |               |              0.3887  |
|          |      1  |      1.3262  |     0.7734  |   0.6428  |               |              0.7685  |
|          |      2  |      1.2256  |     0.8213  |   0.7167  |               |              1.1477  |
|          |      3  |      1.1660  |     0.8604  |   0.8232  |               |              1.4962  |
|          |      4  |      1.1006  |     0.8975  |   0.8295  |               |              1.8449  |
|          |      5  |      1.0859  |     0.8926  |   0.8796  |               |              2.1938  |
|          |      6  |      1.0654  |     0.9150  |   0.8792  |               |              2.5424  |
|          |      7  |      1.0459  |     0.9170  |   0.8874  |               |              2.8922  |
|          |      8  |      0.9751  |     0.9609  |   0.9211  |               |              3.2404  |
|          |      9  |      0.9517  |     0.9717  |   0.9321  |               |              3.5631  |
|          |   eval  |      0.9517  |     0.9717  |   0.9321  |       0.9390  |              3.7159  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4336  |     0.7090  |   0.6648  |               |              0.3914  |
|          |      1  |      1.2939  |     0.7871  |   0.7270  |               |              0.7711  |
|          |      2  |      1.2041  |     0.8428  |   0.7666  |               |              1.1499  |
|          |      3  |      1.1504  |     0.8721  |   0.8493  |               |              1.4984  |
